Sets,cthpth,cthpvh,cthcvh,ptrpvr,ptmpvm,ptcpvc,ctrcvr
AT1G01050,0,0,1,0,0,0,0
AT1G01060,0,0,1,0,0,0,0
AT1G01080,0,1,0,0,0,0,0
AT1G01140,0,0,1,0,0,0,0
AT1G01160,0,0,1,0,0,0,0
AT1G01240,0,0,0,0,1,0,0
AT1G01290,0,0,1,0,0,0,0
AT1G01320,0,0,1,0,1,0,0
AT1G01350,0,0,0,0,1,0,0
AT1G01360,1,1,0,0,0,0,0
AT1G01390,0,1,1,0,0,0,0
AT1G01400,0,0,1,0,0,0,0
AT1G01420,1,1,0,0,0,0,0
AT1G01430,0,0,1,0,0,0,0
AT1G01460,1,1,1,0,0,0,0
AT1G01470,1,1,0,0,0,0,0
AT1G01490,0,0,1,0,1,0,0
AT1G01510,0,0,1,0,0,0,0
AT1G01540,0,0,1,0,0,0,0
AT1G01690,0,0,0,1,0,0,0
AT1G01710,0,0,1,0,1,0,0
AT1G01720,0,1,0,0,0,0,0
AT1G01725,1,1,0,0,0,0,0
AT1G01730,1,1,0,0,0,0,0
AT1G01780,0,0,1,0,1,0,0
AT1G01820,0,0,1,0,0,0,0
AT1G01860,0,0,1,0,0,0,0
AT1G01930,0,0,1,0,1,0,0
AT1G01990,1,1,0,0,0,0,0
AT1G02010,0,0,1,0,0,0,0
AT1G02020,1,1,0,0,0,0,0
AT1G02060,0,0,1,0,0,0,0
AT1G02090,0,0,1,0,0,0,0
AT1G02120,0,0,1,0,0,0,0
AT1G02150,0,0,1,0,0,0,0
AT1G02230,0,0,1,0,0,0,0
AT1G02250,1,0,1,0,0,0,0
AT1G02260,1,1,0,0,0,0,0
AT1G02280,0,0,1,0,0,0,0
AT1G02300,1,1,0,0,0,0,0
AT1G02320,0,0,1,0,0,0,0
AT1G02330,0,0,0,0,1,0,0
AT1G02340,0,0,0,0,1,0,0
AT1G02350,1,0,0,0,0,0,0
AT1G02360,0,1,0,0,0,0,0
AT1G02460,1,1,0,0,0,0,0
AT1G02470,0,0,1,0,0,0,0
AT1G02530,0,0,1,0,0,0,0
AT1G02560,0,0,1,0,0,0,0
AT1G02580,0,0,1,0,0,0,0
AT1G02610,1,1,1,0,1,0,0
AT1G02620,1,0,0,0,0,0,0
AT1G02640,1,1,0,0,0,0,0
AT1G02660,1,1,0,0,0,0,0
AT1G02700,0,0,0,0,1,0,0
AT1G02850,0,1,0,0,0,0,0
AT1G02860,0,0,0,0,1,0,0
AT1G02890,0,0,0,0,1,0,0
AT1G02910,0,0,1,0,0,0,0
AT1G02920,1,1,0,0,0,0,0
AT1G02930,0,1,0,0,0,0,0
AT1G02970,0,0,1,0,0,0,0
AT1G02980,0,0,1,0,0,0,0
AT1G02990,0,0,0,0,1,0,0
AT1G03010,0,0,0,0,1,0,0
AT1G03060,0,0,1,0,0,0,0
AT1G03080,0,0,0,0,1,0,0
AT1G03090,0,0,1,0,1,0,0
AT1G03130,0,0,1,0,1,0,0
AT1G03170,0,0,1,0,0,0,0
AT1G03280,0,0,1,0,0,0,0
AT1G03350,0,0,1,0,0,0,0
AT1G03365,0,0,0,0,1,0,0
AT1G03400,0,0,1,0,0,0,0
AT1G03457,0,0,0,0,1,0,0
AT1G03475,0,0,1,0,0,0,0
AT1G03510,0,0,1,0,0,0,0
AT1G03540,0,0,1,0,0,0,0
AT1G03590,0,0,1,0,0,0,0
AT1G03620,0,0,1,0,0,0,0
AT1G03630,0,0,1,0,0,0,0
AT1G03670,0,0,1,0,0,0,0
AT1G03740,0,0,0,0,1,0,0
AT1G03840,0,0,1,0,0,0,0
AT1G03870,0,0,0,0,1,0,0
AT1G03905,1,0,0,0,0,0,0
AT1G03910,0,0,1,0,0,0,0
AT1G03930,0,0,1,0,0,0,0
AT1G03940,0,0,1,0,0,0,0
AT1G03970,0,0,1,0,0,0,0
AT1G03980,0,0,1,0,0,0,0
AT1G03982,0,0,1,0,0,0,0
AT1G04040,0,0,0,0,1,0,0
AT1G04080,0,0,1,0,0,0,0
AT1G04130,0,0,1,0,0,0,0
AT1G04160,0,0,1,0,0,0,0
AT1G04190,0,0,1,0,0,0,0
AT1G04230,0,0,1,0,0,0,0
AT1G04240,0,0,1,0,0,0,0
AT1G04250,1,1,0,0,0,0,0
AT1G04280,0,0,1,0,0,0,0
AT1G04300,0,0,0,0,1,0,0
AT1G04350,0,0,1,0,1,0,0
AT1G04400,0,0,1,0,0,0,0
AT1G04420,0,0,1,0,0,0,0
AT1G04440,0,0,1,0,0,0,0
AT1G04530,0,0,1,0,0,0,0
AT1G04560,0,0,0,0,1,0,0
AT1G04570,0,0,1,0,0,0,0
AT1G04600,0,0,1,0,0,0,0
